id,ing_desc,Unidade sugerida,Porção,red_meat tokens,white_meat tokens,fish tokens,seafish tokens,veggies tokens,legumes tokens,fruit tokens,healthy_fat,spice tokens,dairy tokens,other protein,carbs,fermented,nuts,sugar,oily tokens,,,,,
34,ramen,g,,0,0,0,0,0,0,,,,,,1,,,,,,,,,
35,miso,g,,0,0,0,0,0,0.5,,,,,,,1,,,,,,,,
36,gochujang,g,,0,0,0,0,0.2,0.1,,,,,,,1,,,,,,,,
37,konbu,g,quadrado pequeno,0,0,0,0,10,0,,,,,,,,,,,,,,,
38,sementes de sesamo,g,,0,0,0,0,0,0,,,,,,,,1,,,,,,,
39,sake,ml,,0,0,0,0,0,0,,,,,,,2,,,,,,,,
40,cogumelos shitake secos,g,,0,0,0,0,1,0,,,,,,,,,,,,,,,
41,gengibre,g,50g,0,0,0,0,1,0,,,,,,,,,,,,,,,
42,cebolinha,g,,0,0,0,0,1,0,,,,,,,,,,,,,,,
43,caldo de frango,ml,,0,0,0,0,0,0,,,,,,,,,,,,,,,
44,molho de soja,ml,,0,0,0,0,0,0,,,,,,,2,,,,,,,,
45,molho de soja escuro,ml,,0,0,0,0,0,0,,,,,,,2,,,,,,,,
46,pimenta branca,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
47,nori,g,,0,0,0,0,10,0,,,,,,,,,,,,,,,
48,wakame,g,,0,0,0,0,10,0,,,,,,,,,,,,,,,
49,doubanjiang,g,,0,0,0,0,0.3,0.5,,,,,,,1,,,,,,,,
50,pimentas sichuan,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
51,tofu,g,,0,0,0,0,0,0,,,,,1,,,,,,,,,,
52,vinho shaoxing,ml,,0,0,0,0,0,0,,,,,,,2,,,,,,,,
53,oleo vegetal,ml,,0,0,0,0,0,0,,,,,,,,,,1,,,,,
54,carne picada (porco),g,,1.1,0,0,0,0,0,,,,,,,,,,,,,,,
55,amido de milho,g,,0,0,0,0,0,0,,,,,,2,,,,,,,,,
56,chillies secos,g,,0,0,0,0,4.5,0,,,,,,,,,,,,,,,
57,bife de vaca,g,200g,1.1,0,0,0,0,0,,,,,,,,,,,,,,,
58,vinagre tinto,ml,,0,0,0,0,0,0,,,,,,,1,,,,,,,,
59,limão (sumo),ml,,0,0,0,0,0,0,1,,,,,,,,,,,,,,
60,piri piri fresco,g,,0,0,0,0,1,0,,,,,,,,,,,,,,,
61,grão cozido,g,,0,0,0,0,0,1,,,,,,,,,,,,,,,
62,couve de bruxelas,g,,0,0,0,0,1,0,,,,,,,,,,,,,,,
63,tahini,g,,0,0,0,0,0,0,,,,,,,,1,,,,,,,
64,sumac,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
65,izote,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
66,feijão preto,g,,0,0,0,0,0,1,,,,,,,,,,,,,,,
67,abacate,g,,0,0,0,0,0,0,1,,,,,,,,,,,,,,
68,quinoa,g,,0,0,0,0,0,0,,,,,,2,,,,,,,,,
69,tomate cherry,g,,0,0,0,0,1,0,,,,,,,,,,,,,,,
70,coentros,g,,0,0,0,0,1,0,,,,,,,,,,,,,,,
71,vinagre balsamico,ml,,0,0,0,0,0,0,,,,,,,1,,,,,,,,
72,salmão,g,100g,0,0,1,0,0,0,,,,,,,,,,,,,,,
73,arroz de sushi,g,,0,0,0,0,0,0,,,,,,1,,,,,,,,,
74,vinagre de sushi,ml,,0,0,0,0,0,0,,,,,,,1,,,,,,,,
75,mimos de pescada,g,60g,0,0,1,0,0,0,,,,,,,,,,,,,,,
76,sriracha,ml,,0,0,0,0,0,0,,,,,,,2,,,,,,,,
77,queijo vache que ri,g,,0,0,0,0,0,0,,,,1,,,,,,,,,,,
